Artist,Song,Streams,Genre,Class,Mel_Spectrogram,Lyrics_File,Processed_Lyrics_File
Ice Spice,Munch (Feelin’ U),97205610,,2.0923830156346943,mel_spectrograms/Ice_Spice-Munch__Feelin__U__mel_spec.npy,lyrics/Ice_Spice-Munch_(Feelin’_U).txt,processed_lyrics/Ice_Spice-Munch_(Feelin’_U)_bert.npy
Ice Spice,Euphoric,8436822,,1.6043519205003798,mel_spectrograms/Ice_Spice-Euphoric_mel_spec.npy,lyrics/Ice_Spice-Euphoric.txt,processed_lyrics/Ice_Spice-Euphoric_bert.npy
Ice Spice,Name of Love,11263265,,1.6620439255867154,mel_spectrograms/Ice_Spice-Name_of_Love_mel_spec.npy,lyrics/Ice_Spice-Name_of_Love.txt,processed_lyrics/Ice_Spice-Name_of_Love_bert.npy
Ice Spice,Be a Lady,3912307,,1.450912000501893,mel_spectrograms/Ice_Spice-Be_a_Lady_mel_spec.npy,lyrics/Ice_Spice-Be_a_Lady.txt,processed_lyrics/Ice_Spice-Be_a_Lady_bert.npy
Ice Spice,No Clarity,17402248,,1.748909704861724,mel_spectrograms/Ice_Spice-No_Clarity_mel_spec.npy,lyrics/Ice_Spice-No_Clarity.txt,processed_lyrics/Ice_Spice-No_Clarity_bert.npy
Ice Spice,Been Bad (Freestyle),1666,,0.0,mel_spectrograms/Ice_Spice-Been_Bad__Freestyle__mel_spec.npy,lyrics/Ice_Spice-Been_Bad_(Freestyle).txt,processed_lyrics/Ice_Spice-Been_Bad_(Freestyle)_bert.npy
Ice Spice,Bully Freestyle,5002693,,1.5,mel_spectrograms/Ice_Spice-Bully_Freestyle_mel_spec.npy,lyrics/Ice_Spice-Bully_Freestyle.txt,processed_lyrics/Ice_Spice-Bully_Freestyle_bert.npy
Omar Apollo,Endlessly Interlude,2925086,,1.1122975579272063,mel_spectrograms/Omar_Apollo-Endlessly_Interlude_mel_spec.npy,lyrics/Omar_Apollo-Endlessly_Interlude.txt,processed_lyrics/Omar_Apollo-Endlessly_Interlude_bert.npy
Omar Apollo,Petrified,9005000,,1.592633488244869,mel_spectrograms/Omar_Apollo-Petrified_mel_spec.npy,lyrics/Omar_Apollo-Petrified.txt,processed_lyrics/Omar_Apollo-Petrified_bert.npy
Omar Apollo,Ivory,5201064,,1.3581517171955602,mel_spectrograms/Omar_Apollo-Ivory_mel_spec.npy,lyrics/Omar_Apollo-Ivory.txt,processed_lyrics/Omar_Apollo-Ivory_bert.npy
Omar Apollo,Talk,4769040,,1.32110815067347,mel_spectrograms/Omar_Apollo-Talk_mel_spec.npy,lyrics/Omar_Apollo-Talk.txt,processed_lyrics/Omar_Apollo-Talk_bert.npy
Omar Apollo,No Good Reason,4822743,,1.325891546335249,mel_spectrograms/Omar_Apollo-No_Good_Reason_mel_spec.npy,lyrics/Omar_Apollo-No_Good_Reason.txt,processed_lyrics/Omar_Apollo-No_Good_Reason_bert.npy
Omar Apollo,Personally,2841197,,1.099867526935487,mel_spectrograms/Omar_Apollo-Personally_mel_spec.npy,lyrics/Omar_Apollo-Personally.txt,processed_lyrics/Omar_Apollo-Personally_bert.npy
Omar Apollo,En El Olvido,6292278,,1.439510837390644,mel_spectrograms/Omar_Apollo-En_El_Olvido_mel_spec.npy,lyrics/Omar_Apollo-En_El_Olvido.txt,processed_lyrics/Omar_Apollo-En_El_Olvido_bert.npy
Omar Apollo,Can't Get Over You,2896982,,1.1081734811414106,mel_spectrograms/Omar_Apollo-Can_t_Get_Over_You_mel_spec.npy,lyrics/Omar_Apollo-Can't_Get_Over_You.txt,processed_lyrics/Omar_Apollo-Can't_Get_Over_You_bert.npy
Omar Apollo,Mr. Neighbor,2208603,,0.9922778153188112,mel_spectrograms/Omar_Apollo-Mr._Neighbor_mel_spec.npy,lyrics/Omar_Apollo-Mr._Neighbor.txt,processed_lyrics/Omar_Apollo-Mr._Neighbor_bert.npy
Omar Apollo,Waiting on You,3977908,,1.243623898864444,mel_spectrograms/Omar_Apollo-Waiting_on_You_mel_spec.npy,lyrics/Omar_Apollo-Waiting_on_You.txt,processed_lyrics/Omar_Apollo-Waiting_on_You_bert.npy
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),189189560,,2.893358798716789,mel_spectrograms/Omar_Apollo-Evergreen__You_Didn_t_Deserve_Me_At_All__mel_spec.npy,lyrics/Omar_Apollo-Evergreen_(You_Didn’t_Deserve_Me_At_All).txt,processed_lyrics/Omar_Apollo-Evergreen_(You_Didn’t_Deserve_Me_At_All)_bert.npy
